,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011595895899517927,107.54538033297104,"[-360.29998779296875, 24.0]",False,False
1,1,0.023316961518503376,107.55710260041178,"[-357.3999938964844, 18.100006103515625]",False,False
2,2,0.03505304990812874,107.56883808789007,"[-361.3999938964844, 16.5]",False,False
3,3,0.0467921428507907,107.58057748128886,"[-362.29998779296875, 15.5]",False,False
4,4,0.05855316903853236,107.59233820702048,"[-360.0, 13.70001220703125]",False,False
5,5,0.07030548201964848,107.60409052000159,"[-359.5, 13.100006103515568]",False,False
6,6,0.08210136103298282,107.61588639901493,"[-357.79998779296875, 11.600006103515682]",False,False
7,7,0.09380800479266327,107.62759304277552,"[-358.0, 12.200012207031307]",False,False
8,8,0.10563032388199645,107.63941536186394,"[-357.70001220703125, 10.79998779296875]",False,False
9,9,0.11736070361894235,107.65114574160089,"[-357.0, 10.600006103515625]",False,False
10,10,0.12913705303162715,107.66292209101357,"[-357.6000061035156, 10.600006103515625]",False,False
11,11,0.14083828859384084,107.6746233265767,"[-356.29998779296875, 11.0]",False,False
12,12,0.15267292635508056,107.68645796433702,"[-356.5, 9.0]",False,False
13,13,0.1644114183873171,107.69819645636926,"[-357.3999938964844, 8.20001220703125]",False,False
14,14,0.17614269948990113,107.70992773747184,"[-359.1000061035156, 9.399993896484432]",False,False
15,15,0.18792445710005268,107.721709495082,"[-361.79998779296875, 8.399993896484375]",False,False
16,16,0.19966385049883684,107.73344918893599,"[-347.29998779296875, 4.299987792968807]",True,False
17,17,0.21143028488313576,107.74521532286508,"[-312.1000061035156, -2.20001220703125]",True,False
18,18,0.22318860697214404,107.75697364495409,"[-316.5, -5.399993896484318]",True,False
19,19,0.23497997915455926,107.76876561804784,"[-318.20001220703125, -7.0]",True,False
20,20,0.24669653794262558,107.78048187637978,"[-318.29998779296875, -8.600006103515625]",True,False
21,21,0.25846808006917854,107.79225341850633,"[-320.3999938964844, -10.20001220703125]",True,False
22,22,0.27023030807777104,107.80401534606062,"[-321.5, -10.20001220703125]",True,False
23,23,0.2819982447399525,107.8157832827219,"[-320.8999938964844, -10.500000000000057]",True,False
24,24,0.29374424815705424,107.82752958659421,"[-320.3999938964844, -12.100006103515625]",True,False
25,25,0.3055341180634059,107.83931945650056,"[-320.8999938964844, -12.500000000000057]",True,False
26,26,0.3172708073625472,107.8510558453454,"[-321.8999938964844, -10.20001220703125]",True,False
27,27,0.3290330353720492,107.8628183738092,"[-321.6000061035156, -9.20001220703125]",True,False
28,28,0.34077873833393824,107.87456377631588,"[-322.8999938964844, -9.5]",True,False
29,29,0.35256950960592803,107.88635454758787,"[-322.0, -8.79998779296875]",True,False
30,30,0.36433534307980153,107.89813510337626,"[-322.1000061035156, -9.20001220703125]",True,False
31,31,0.37608735560479545,107.90987239358674,"[-321.5, -9.5]",True,False
32,32,0.3878658082057882,107.92165084618773,"[-321.8999938964844, -9.600006103515682]",True,False
33,33,0.3996202243743028,107.93340526235625,"[-322.1000061035156, -11.0]",True,False
34,34,0.4113725373554189,107.94517169674054,"[-324.3999938964844, -10.899993896484318]",True,False
35,35,0.4231170384955476,107.95690207647749,"[-323.0, -11.20001220703125]",True,False
36,36,0.4348903833542863,107.96867572179144,"[-324.79998779296875, -12.100006103515625]",True,False
37,37,0.4466628268464774,107.98044816528454,"[-323.8999938964844, -11.0]",True,False
38,38,0.4583637619543879,107.99214879993633,"[-321.5, -12.399993896484375]",True,False
39,39,0.4701082630945166,108.00389330107646,"[-323.20001220703125, -12.600006103515625]",True,False
40,40,0.4818713924696567,108.01565673090681,"[-323.3999938964844, -12.500000000000057]",True,False
41,41,0.49364864324888913,108.02743368123083,"[-323.79998779296875, -11.600006103515682]",True,False
42,42,0.5054601459432888,108.03924518392523,"[-321.79998779296875, -11.70001220703125]",True,False
43,43,0.5171992388868603,108.0509842768688,"[-322.79998779296875, -11.5]",True,False
44,44,0.5289605655298146,108.06274560351176,"[-322.5, -11.600006103515682]",True,False
45,45,0.5407065689469164,108.07449130647365,"[-322.20001220703125, -10.899993896484318]",True,False
46,46,0.5525075557025048,108.08629289413966,"[-323.5, -10.20001220703125]",True,False
47,47,0.5642412404486095,108.09802657888577,"[-321.5, -11.399993896484432]",True,False
48,48,0.5760007643584686,108.10978580234041,"[-322.20001220703125, -9.20001220703125]",True,False
49,49,0.5877371532033067,108.1215375144111,"[-323.1000061035156, -10.79998779296875]",True,False
50,50,0.5995333326727632,108.1333183706547,"[-322.5, -9.600006103515682]",True,False
51,51,0.6112826410990237,108.14506767908097,"[-324.0, -10.500000000000057]",True,False
52,52,0.6230577886908577,108.15685814989774,"[-323.29998779296875, -8.600006103515625]",True,False
53,53,0.6348227207981836,108.16860775878013,"[-323.8999938964844, -9.5]",True,False
54,54,0.6465975679338953,108.18038260591584,"[-324.79998779296875, -9.399993896484432]",True,False
55,55,0.6582741661541149,108.19205920413606,"[-323.3999938964844, -8.399993896484375]",True,False
56,56,0.6700589283182126,108.20384426675537,"[-323.3999938964844, -9.70001220703125]",True,False
57,57,0.6818280668012449,108.21561310478319,"[-322.70001220703125, -10.399993896484375]",True,False
58,58,0.6936371658521239,108.22742220383407,"[-323.3999938964844, -10.20001220703125]",True,False
59,59,0.7053687474108301,108.23915378539277,"[-324.29998779296875, -8.20001220703125]",True,False
60,60,0.7171592182276072,108.25094425620955,"[-322.8999938964844, -8.299987792968807]",True,False
61,61,0.7288907997854039,108.26267613822256,"[-323.3999938964844, -8.299987792968807]",True,False
62,62,0.7406422113999724,108.27444227215165,"[-325.20001220703125, -5.600006103515568]",True,False
63,63,0.7524143544369508,108.2861993924189,"[-323.79998779296875, -8.299987792968807]",True,False
64,64,0.7641873988404768,108.29797243682242,"[-324.1000061035156, -5.100006103515625]",True,False
65,65,0.7758970471550128,108.30968238559217,"[-324.1000061035156, -4.79998779296875]",True,False
66,66,0.7876730961115754,108.32145813409443,"[-324.20001220703125, -4.499999999999943]",True,False
67,67,0.7994608628296191,108.33324620126768,"[-324.0, -5.899993896484375]",True,False
68,68,0.8112113730785495,108.3449967115157,"[-323.3999938964844, -6.700012207031193]",True,False
69,69,0.8229844174820755,108.35676975591923,"[-325.8999938964844, 27.200012207031307]",True,False
70,70,0.8347045817345133,108.36848961971646,"[-324.0, 55.600006103515625]",False,False
71,71,0.8465521390771755,108.38033747751524,"[-323.5, 67.70001220703125]",False,False
72,72,0.8583230802933031,108.39210841873046,"[-325.0, 72.29998779296875]",False,False
73,73,0.8700077908088133,108.40379282879076,"[-326.0, 71.79998779296875]",False,False
74,74,0.8817865438650188,108.41557188230217,"[-325.79998779296875, 67.79998779296886]",False,False
75,75,0.8935091117609772,108.42729445019813,"[-325.70001220703125, 67.60000610351562]",False,False
76,76,0.9053137039809371,108.439099042419,"[-325.8999938964844, 64.5]",False,False
77,77,0.9170702233377597,108.45087058454556,"[-324.29998779296875, 67.10000610351562]",False,False
78,78,0.928801203985131,108.46258654242229,"[-325.20001220703125, 64.79998779296875]",False,False
79,79,0.9406382453889819,108.47442328337092,"[-324.6000061035156, 65.79998779296875]",False,False
80,80,0.9523490955243687,108.48613443396152,"[-326.3999938964844, 64.70001220703136]",False,False
81,81,0.9640956998528054,108.49788073783475,"[-327.20001220703125, 64.10000610351562]",False,False
82,82,0.9758843679364873,108.50966940591843,"[-327.5, 63.100006103515625]",False,False
83,83,0.9876258645226699,108.52141120296073,"[-327.3999938964844, 63.0]",False,False
84,84,0.9993913975413307,108.53317643552327,"[-327.0, 63.29998779296875]",False,False
85,85,1.0111361991375816,108.54492123711952,"[-327.3999938964844, 62.100006103515625]",False,False
86,86,1.0228662784184053,108.55665131640035,"[-327.29998779296875, 61.899993896484375]",False,False
87,87,1.0346672651739937,108.56845230315594,"[-327.8999938964844, 62.0]",False,False
88,88,1.0464312959156814,108.58021663435284,"[-328.0, 61.0]",False,False
89,89,1.0581769988775704,108.59196203685951,"[-327.1000061035156, 60.399993896484375]",False,False
90,90,1.0699383255205248,108.60372366395768,"[-327.8999938964844, 59.79998779296875]",False,False
91,91,1.0816666020691628,108.6154516400511,"[-328.6000061035156, 61.39999389648449]",False,False
92,92,1.0934663870029908,108.62725172544015,"[-328.3999938964844, 61.20001220703125]",False,False
93,93,1.105221704538053,108.63900674252,"[-328.3999938964844, 62.399993896484375]",False,False
94,94,1.1170196867396953,108.65080502517685,"[-328.0, 61.5]",False,False
95,95,1.1287263304993758,108.66251166893653,"[-327.79998779296875, 62.600006103515625]",False,False
96,96,1.1405089894751654,108.67429432791323,"[-327.1000061035156, 63.29998779296875]",False,False
