,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011596166309118416,113.10693448059192,"(99999, 99999)",False,False
1,1,0.024014889367663272,113.11935470592789,"(99999, 99999)",False,False
2,2,0.03498842195085672,113.13032793805542,"(99999, 99999)",False,False
3,3,0.0467197030538955,113.14205891870279,"(99999, 99999)",False,False
4,4,0.058488841536927794,113.15382865809715,"(99999, 99999)",False,False
5,5,0.07027871144282472,113.16561792709217,"(99999, 99999)",False,False
6,6,0.08201149482283654,113.17735071047173,"(99999, 99999)",False,False
7,7,0.09380677292574546,113.1891462890303,"(99999, 99999)",False,False
8,8,0.10559784465294797,113.20093736075751,"[-342.5, -105.0]",False,False
9,9,0.11734264624874413,113.2126821623533,"[-324.6000061035156, -41.99999999999994]",True,False
10,10,0.1291340184316141,113.22447443590227,"[-310.0, 5.79998779296875]",True,False
11,11,0.14081332075011233,113.23615343776555,"[-308.20001220703125, 5.399993896484432]",True,False
12,12,0.152579755134866,113.24792047306073,"[-313.3999938964844, -4.0]",True,False
13,13,0.1643678223081224,113.25970793932356,"[-309.70001220703125, -5.000000000000057]",True,False
14,14,0.17612914895107679,113.27146866505564,"[-311.3999938964844, -10.500000000000057]",True,False
15,15,0.18790880337337512,113.28324801902227,"[-312.3999938964844, -16.399993896484318]",True,False
16,16,0.19964038493117187,113.29497960058052,"[-312.79998779296875, -17.899993896484375]",True,False
17,17,0.2114446766963738,113.30678419280093,"[-313.70001220703125, -18.600006103515568]",True,False
18,18,0.22317415506677207,113.31851307026045,"[-313.1000061035156, -15.799987792968807]",True,False
19,19,0.23494149081761861,113.33028100692218,"[-313.0, -17.100006103515682]",True,False
20,20,0.2466763773850289,113.34201589348959,"[-314.1000061035156, -16.100006103515625]",True,False
21,21,0.25842117898082506,113.3537600941745,"[-313.3999938964844, -16.29998779296875]",True,False
22,22,0.2702248698351468,113.36556408548404,"[-313.79998779296875, -16.100006103515625]",True,False
23,23,0.2819759809945026,113.3773151966434,"[-312.6000061035156, -16.899993896484432]",True,False
24,24,0.29372679169819094,113.38906630780275,"[-313.0, -16.600006103515625]",True,False
25,25,0.305486916519385,113.40082643262394,"[-312.1000061035156, -16.29998779296875]",True,False
26,26,0.31726717185210873,113.41260638750146,"[-311.8999938964844, -15.299987792968693]",True,False
27,27,0.3289819279079893,113.42432114355734,"[-310.8999938964844, -15.100006103515568]",True,False
28,28,0.34076879325994014,113.4361083093645,"[-310.5, -14.600006103515625]",True,False
29,29,0.35253672992166685,113.44787594557056,"[-309.20001220703125, -15.600006103515625]",True,False
30,30,0.364252687798853,113.45959220390341,"[-302.1000061035156, -19.100006103515682]",True,False
31,31,0.3760587822962407,113.4713982984008,"[-304.1000061035156, -18.000000000000057]",True,False
32,32,0.3878147007417283,113.48315421684629,"[-303.29998779296875, -17.70001220703125]",True,False
33,33,0.3996042701924125,113.49494378629697,"[-302.3999938964844, -18.29998779296875]",True,False
34,34,0.4113073084872667,113.50664652413661,"[-302.29998779296875, -18.79998779296875]",True,False
35,35,0.4231025865906304,113.51844180223952,"[-302.20001220703125, -18.899993896484432]",True,False
36,36,0.4348687205197166,113.53020823662428,"[-301.5, -18.79998779296875]",True,False
37,37,0.4466195312234049,113.54195874687275,"[-300.70001220703125, -17.600006103515625]",True,False
38,38,0.45841150431715505,113.55375132087693,"[-299.8999938964844, -18.200012207031307]",True,False
39,39,0.4701761359692682,113.56551505116295,"[-300.29998779296875, -20.29998779296875]",True,False
40,40,0.4818966006773735,113.57723611678193,"[-298.20001220703125, -21.700012207031193]",True,False
41,41,0.49366393642822004,113.58900315207757,"[-299.1000061035156, -21.600006103515625]",True,False
42,42,0.505399724362178,113.60073863955586,"[-298.0, -23.20001220703125]",True,False
43,43,0.5172205411740833,113.61256005727864,"[-298.1000061035156, -20.600006103515568]",True,False
44,44,0.5289355976851766,113.62427481333452,"[-299.8999938964844, -18.70001220703125]",True,False
45,45,0.5406569637598295,113.63599617940918,"[-296.5, -21.600006103515625]",True,False
46,46,0.5524239990554634,113.64776321470436,"[-297.0, -21.399993896484375]",True,False
47,47,0.5642598386375539,113.65959935474166,"[-297.79998779296875, -20.000000000000057]",True,False
48,48,0.5760193625478678,113.67135887865243,"[-298.70001220703125, -19.79998779296875]",True,False
49,49,0.5877698727963434,113.68310938890045,"[-298.1000061035156, -18.70001220703125]",True,False
50,50,0.5995026561759005,113.69484187182525,"[-297.6000061035156, -18.5]",True,False
51,51,0.611302741565396,113.70664225766996,"[-298.5, -17.899993896484375]",True,False
52,52,0.6230637677526829,113.71840328385724,"[-298.5, -17.499999999999943]",True,False
53,53,0.6347881383812819,113.73012735403017,"[-299.1000061035156, -15.799987792968807]",True,False
54,54,0.646580111475032,113.74191962757959,"[-299.8999938964844, -17.20001220703125]",True,False
55,55,0.6583077871127898,113.75364730321735,"[-300.1000061035156, -15.600006103515625]",True,False
56,56,0.6700207404360299,113.76535995608538,"[-300.20001220703125, -17.499999999999943]",True,False
