,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011629516859102296,86.30490454381697,"[-319.20001220703125, -9.5]",True,False
1,1,0.024257056420537992,86.31753358565584,"[-319.1000061035156, -8.500000000000057]",True,False
2,2,0.03503829754799881,86.32831392541675,"[-320.70001220703125, -7.5]",True,False
3,3,0.046841087035772944,86.34011701536019,"[-318.8999938964844, -8.399993896484375]",True,False
4,4,0.05860571868788611,86.35188194746752,"[-319.3999938964844, -9.0]",True,False
5,5,0.07036584350908015,86.36364207228871,"[-319.79998779296875, -7.5]",True,False
6,6,0.08213227789383382,86.37540820621825,"[-319.79998779296875, -7.70001220703125]",True,False
7,7,0.0938722722030434,86.38714820052746,"[-319.8999938964844, -7.70001220703125]",True,False
8,8,0.10563089474726439,86.39890682307168,"[-319.70001220703125, -7.799987792968693]",True,False
9,9,0.11745141110395707,86.41072854124968,"[-319.20001220703125, -8.79998779296875]",True,False
10,10,0.12916436442719714,86.42244269639468,"[-318.3999938964844, -8.600006103515625]",True,False
11,11,0.14090646192471468,86.43418389252565,"[-317.79998779296875, -8.899993896484318]",True,False
12,12,0.15267529995253426,86.44595182918738,"[-317.3999938964844, -8.700012207031193]",True,False
13,13,0.16447929126206873,86.4577564214078,"[-316.70001220703125, -9.0]",True,False
14,14,0.1762959016982677,86.4695874537033,"[-316.3999938964844, -8.20001220703125]",True,False
15,15,0.18797099764151426,86.48124812778724,"[-316.29998779296875, -8.399993896484375]",True,False
16,16,0.19979632128433877,86.49307345143006,"[-317.79998779296875, -9.5]",True,False
17,17,0.21156485885694565,86.504841688547,"[-318.20001220703125, -9.20001220703125]",True,False
18,18,0.22327180307229355,86.51654773139626,"[-318.79998779296875, -8.79998779296875]",True,False
19,19,0.23501690512330242,86.52829283344772,"[-318.8999938964844, -8.399993896484375]",True,False
20,20,0.24676891764875108,86.54004514642838,"[-318.20001220703125, -9.70001220703125]",True,False
21,21,0.25850680877010745,86.55178273709453,"[-318.20001220703125, -9.799987792968693]",True,False
22,22,0.2702915709342051,86.56356779971384,"[-316.5, -10.20001220703125]",True,False
23,23,0.2820907549576077,86.57536698373724,"[-316.6000061035156, -10.20001220703125]",True,False
24,24,0.29382594198068546,86.58710187030465,"[-317.70001220703125, -9.100006103515625]",True,False
25,25,0.30555782399414966,86.598834353229,"[-316.79998779296875, -9.999999999999943]",True,False
26,26,0.31732455883411603,86.61060078761375,"[-317.79998779296875, -9.5]",True,False
27,27,0.3290495303735952,86.62232545869756,"[-315.5, -10.399993896484375]",True,False
28,28,0.34085111804006374,86.6341273468197,"[-317.20001220703125, -11.5]",True,False
29,29,0.3526280683636287,86.6459039966876,"[-317.20001220703125, -10.20001220703125]",True,False
30,30,0.3644119291611787,86.65768815794081,"[-316.6000061035156, -10.100006103515625]",True,False
31,31,0.3761362997897777,86.66941252856941,"[-317.3999938964844, -9.999999999999943]",True,False
32,32,0.38790994510418386,86.68118587342815,"[-317.8999938964844, -8.500000000000057]",True,False
33,33,0.399673074479324,86.69294930325896,"[-316.6000061035156, -10.299987792968807]",True,False
34,34,0.4114184769860003,86.70469440530997,"[-316.79998779296875, -9.899993896484375]",True,False
35,35,0.4231807049945928,86.71645663331901,"[-317.29998779296875, -9.899993896484375]",True,False
36,36,0.4349393275388138,86.72821525586323,"[-316.5, -9.0]",True,False
37,37,0.4466973491726094,86.73997357795179,"[-316.5, -10.100006103515625]",True,False
38,38,0.45849713410643744,86.75177276197519,"[-315.8999938964844, -7.899993896484375]",True,False
39,39,0.47025365346280523,86.76352988224244,"[-318.29998779296875, -6.100006103515682]",True,False
40,40,0.48197441862657797,86.77525094786142,"[-318.70001220703125, -5.200012207031307]",True,False
41,41,0.49377750857001956,86.78705373734965,"[-318.0, -5.70001220703125]",True,False
42,42,0.5054994755555526,86.79877570433518,"[-317.29998779296875, -6.600006103515625]",True,False
43,43,0.5172887445505694,86.81056467287453,"[-318.70001220703125, -7.0]",True,False
44,44,0.5290554793905358,86.82234552911859,"[-319.70001220703125, -4.700012207031193]",True,False
45,45,0.5408177073991283,86.83409393617876,"[-318.3999938964844, -5.79998779296875]",True,False
46,46,0.5525393739294486,86.84581530225341,"[-318.29998779296875, -6.600006103515625]",True,False
47,47,0.5643235351826661,86.8575997639623,"[-317.1000061035156, -8.299987792968807]",True,False
48,48,0.5760650317688487,86.86934126054848,"[-316.3999938964844, -7.899993896484375]",True,False
49,49,0.5878708258110237,86.88114705459066,"[-317.79998779296875, -7.899993896484375]",True,False
50,50,0.5995813754911978,86.89285760427083,"[-318.1000061035156, -8.0]",True,False
51,51,0.6113706444862146,86.90464687326585,"[-318.29998779296875, -6.79998779296875]",True,False
52,52,0.623111540161517,86.91638746848594,"[-317.20001220703125, -6.499999999999943]",True,False
53,53,0.6348656558748189,86.92814188465445,"[-319.0, -7.600006103515568]",True,False
54,54,0.6466017442639895,86.93987737213274,"[-318.5, -6.0]",True,False
55,55,0.6583633713621566,86.95163990059746,"[-320.79998779296875, -5.70001220703125]",True,False
56,56,0.6701968073011813,86.96347303608081,"[-321.29998779296875, -4.700012207031193]",True,False
57,57,0.6819340975116575,86.97521002583608,"[-322.70001220703125, -3.000000000000057]",True,False
58,58,0.6936728899995614,86.9869491187792,"[-324.8999938964844, -2.499999999999943]",True,False
59,59,0.7055021195628797,86.9987780478873,"[-324.6000061035156, -1.600006103515625]",True,False
60,60,0.7172598407410078,87.01053606952064,"[-326.20001220703125, -1.5]",True,False
61,61,0.7289839109139393,87.02226044014924,"[-325.6000061035156, 0.0]",True,False
62,62,0.7407269097775497,87.03400283810151,"[-328.0, 0.29998779296880684]",True,False
63,63,0.7525035596454472,87.04577948796987,"[-327.5, 1.5]",True,False
64,64,0.7642699940302009,87.05754622280983,"[-330.3999938964844, 0.7999877929688068]",True,False
65,65,0.7759952660248928,87.06927149480452,"[-329.70001220703125, 0.5]",True,False
66,66,0.7877617004096464,87.08103792918928,"[-328.70001220703125, 0.5]",True,False
67,67,0.7995323411696518,87.09280856994928,"[-329.20001220703125, 1.8999938964844318]",True,False
68,68,0.8112948696343665,87.10457079795833,"[-330.20001220703125, 2.899993896484375]",True,False
