,"(341.5, -18.25)","(223.61666666666665, 120.16666666666666)","(115.66666666666666, -18.25)","(223.61666666666665, -156.66666666666666)"
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, -25)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, -10)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 5)","(7, 20)"
7,"(8, 13)","(8, 13)","(8, 5)","(8, 13)"
8,"(9, 13)","(9, 13)","(9, 5)","(9, 13)"
9,"(10, 13)","(10, 13)","(10, -2)","(10, 13)"
10,"(11, 16)","(11, 16)","(11, -2)","(11, 6)"
11,"(12, 16)","(12, 16)","(12, -2)","(12, 9)"
12,"(13, 16)","(13, 16)","(13, -9)","(13, 12)"
13,"(14, 13)","(14, 13)","(14, -9)","(14, 12)"
14,"(15, 13)","(15, 16)","(15, -6)","(15, 12)"
15,"(16, 13)","(16, 19)","(16, -6)","(16, 9)"
16,"(17, 10)","(17, 22)","(17, -3)","(17, 12)"
17,"(18, 10)","(18, 22)","(18, 0)","(18, 12)"
18,"(19, 13)","(19, 22)","(19, 0)","(19, 15)"
19,"(20, 13)","(20, 19)","(20, 3)","(20, 15)"
20,,,"(21, 3)",
21,,,"(22, 3)",
