,"(343.4, -14.059523809523789)","(233.08333333333331, 113.71428571428574)","(117.42857142857142, -14.059523809523789)","(233.08333333333331, -141.83333333333331)"
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, -40)"
4,"(5, 20)","(5, 20)","(5, 5)","(5, -25)"
5,"(6, 20)","(6, 35)","(6, 5)","(6, -10)"
6,"(7, 20)","(7, 35)","(7, -2)","(7, 5)"
7,"(8, 13)","(8, 35)","(8, -2)","(8, 5)"
8,"(9, 13)","(9, 28)","(9, -2)","(9, 5)"
9,"(10, 13)","(10, 28)","(10, -9)","(10, -2)"
10,"(11, 6)","(11, 28)","(11, -9)","(11, 1)"
11,"(12, 9)","(12, 21)","(12, -9)","(12, 4)"
12,"(13, 9)","(13, 24)","(13, -16)","(13, 7)"
13,"(14, 9)","(14, 24)","(14, -13)","(14, 7)"
14,"(15, 6)","(15, 24)","(15, -10)","(15, 7)"
15,"(16, 9)","(16, 21)","(16, -7)","(16, 4)"
16,"(17, 9)","(17, 21)","(17, -4)","(17, 7)"
17,"(18, 9)","(18, 21)","(18, -4)","(18, 7)"
18,"(19, 6)","(19, 18)","(19, -4)","(19, 7)"
19,"(20, 9)","(20, 21)","(20, -7)","(20, 4)"
