,frameN,routine_time,global_time,gaze,good_fixation,button,stimulus_display,recorded_response
0,0,1.1404287678833498,186.8655468092993,"[-334.8999938964844, 10.500000000000057]",True,None,False,None
1,1,1.1563907614772688,186.8815085024371,"[-334.3999938964844, 8.0]",True,None,False,None
2,2,1.1676524307895306,186.89277017174936,"[-334.6000061035156, 3.29998779296875]",True,None,False,None
3,3,1.1794407984179998,186.9045579384674,"[-332.5, 1.3999938964844318]",True,None,False,None
4,4,1.1911756849858648,186.91629312549048,"[-333.1000061035156, 0.600006103515625]",True,None,False,None
5,5,1.202923791590365,186.9280412320959,"[-332.6000061035156, -0.899993896484375]",True,None,False,None
6,6,1.214683916411559,186.93980105646187,"[-330.6000061035156, -2.399993896484375]",True,None,False,None
7,7,1.2264434403223277,186.95156058037173,"[-331.0, -1.79998779296875]",True,None,False,None
8,8,1.2382438261674906,186.9633612666721,"[-330.8999938964844, -4.79998779296875]",True,None,False,None
9,9,1.2500225792227866,186.97514122155007,"[-331.70001220703125, -5.600006103515568]",True,None,False,None
10,10,1.2618088436638573,186.98692748599024,"[-330.79998779296875, -5.899993896484375]",True,None,False,None
11,11,1.2736071263216218,186.998725768648,"[-332.3999938964844, -4.600006103515625]",True,None,False,None
12,12,1.2853029536863687,187.01042129555753,"[-330.70001220703125, -5.600006103515568]",True,None,False,None
13,13,1.297013803822665,187.02215167529448,"[-331.29998779296875, -4.79998779296875]",True,None,False,None
14,14,1.3087889514135895,187.033906091463,"[-331.79998779296875, -6.100006103515682]",True,None,False,None
15,15,1.3205631976388759,187.04568033768828,"[-332.70001220703125, -5.29998779296875]",True,None,False,None
16,16,1.3323419506941718,187.05745909074358,"[-331.79998779296875, -9.20001220703125]",True,None,False,None
17,17,1.3440867522904227,187.06920389233983,"[-331.5, -11.899993896484375]",True,None,False,None
18,18,1.3558603976043742,187.08099286087963,"[-333.79998779296875, -11.20001220703125]",True,None,False,None
19,19,1.3676094055763315,187.09272654562574,"[-336.0, -10.20001220703125]",True,None,False,None
20,20,1.3793884590877497,187.10450589959237,"[-327.3999938964844, 3.899993896484318]",True,None,False,None
21,21,1.3911693153313536,187.11628645538076,"[-329.20001220703125, 1.2000122070313068]",True,None,False,None
