,frameN,routine_time,global_time,gaze,good_fixation,button,stimulus_display,recorded_response
0,0,1.1400354417187373,141.72665709415742,"[-308.5, -9.0]",True,None,False,None
1,1,1.1575342646847275,141.74416042395433,"[-309.3999938964844, -7.70001220703125]",True,None,False,None
2,2,1.1686252753297595,141.75524752867932,"[-308.5, -7.0]",True,None,False,None
3,3,1.1803616641741428,141.76698421797892,"[-309.6000061035156, -7.5]",True,None,False,None
4,4,1.1921205871740312,141.7787431409788,"[-308.5, -6.700012207031193]",True,None,False,None
5,5,1.2038789092625848,141.79051828856973,"[-307.79998779296875, -7.29998779296875]",True,None,False,None
6,6,1.2156393345389915,141.80226188834422,"[-308.20001220703125, -8.399993896484375]",True,None,False,None
7,7,1.2274120784873048,141.81403343047032,"[-307.70001220703125, -7.899993896484375]",True,None,False,None
8,8,1.239131040918437,141.8257523929019,"[-307.1000061035156, -6.79998779296875]",True,None,False,None
9,9,1.250899578491044,141.83752123092972,"[-306.6000061035156, -7.899993896484375]",True,None,False,None
10,10,1.262695457504833,141.8493171099435,"[-308.5, -10.600006103515625]",True,None,False,None
11,11,1.274415321302513,141.8610369737412,"[-331.70001220703125, -40.50000000000006]",False,None,False,None
12,12,1.286182356597692,141.87280370858116,"[-346.3999938964844, -68.2999877929688]",False,None,False,None
13,13,1.297978235611481,141.88459988805016,"[-527.1999969482422, -518.0]",False,None,False,None
14,14,1.3096713588784041,141.89629271086187,"(99999, 99999)",False,None,False,None
15,15,1.3214341877983315,141.90805553978134,"(99999, 99999)",False,None,False,None
16,16,1.3331997208165376,141.91982137325522,"(99999, 99999)",False,None,False,None
17,17,1.344962549736465,141.9315974222127,"(99999, 99999)",False,None,False,None
18,18,1.356751518276269,141.94337287025928,"(99999, 99999)",False,None,False,None
19,19,1.3685146476514092,141.9551501210385,"(99999, 99999)",False,None,False,None
20,20,1.3802831852235613,141.96691775724457,"(99999, 99999)",False,None,False,None
21,21,1.3920544268949016,141.9786757788779,"(99999, 99999)",False,None,False,None
22,22,1.4038238658331466,141.99044551827183,"(99999, 99999)",False,None,False,None
23,23,1.415586694753074,142.00220834719175,"(99999, 99999)",False,None,False,None
24,24,1.4272819212078502,142.0139200986937,"(99999, 99999)",False,None,False,None
25,25,1.4390150050430748,142.02563605657087,"(99999, 99999)",False,None,False,None
26,26,1.4508096822351035,142.03743103421857,"(99999, 99999)",False,None,False,None
27,27,1.4625622956714324,142.04919716814766,"(99999, 99999)",False,None,False,None
28,28,1.4743299318774916,142.06095128386096,"(99999, 99999)",False,None,False,None
29,29,1.48610958629979,142.07273123873847,"(99999, 99999)",False,None,False,None
30,30,1.4979135776093244,142.084535230048,"(99999, 99999)",False,None,False,None
31,31,1.5095793594350653,142.09620071141808,"(99999, 99999)",False,None,False,None
32,32,1.5213827498337196,142.1080041018172,"(99999, 99999)",False,None,False,None
33,33,1.5331416728331533,142.11976302481662,"(99999, 99999)",False,None,False,None
34,34,1.5449063044857212,142.13152735601352,"(99999, 99999)",False,None,False,None
35,35,1.556624065095093,142.14324541707856,"(99999, 99999)",False,None,False,None
36,36,1.5684379714330134,142.1550590229608,"(99999, 99999)",False,None,False,None
37,37,1.5802215317753507,142.1668434846697,"(99999, 99999)",False,None,False,None
38,38,1.591979853864359,142.17860150630304,"(99999, 99999)",False,None,False,None
39,39,1.6037174445305027,142.19033909696918,"(99999, 99999)",False,None,False,None
40,40,1.615466752957218,142.20208780448502,"(99999, 99999)",False,None,False,None
41,41,1.6272334877971844,142.21385453932498,"(99999, 99999)",False,None,False,None
42,42,1.6390101376655366,142.2256326914703,"(99999, 99999)",False,None,False,None
43,43,1.6507501319747462,142.23737268577952,"(99999, 99999)",False,None,False,None
44,44,1.6625691460544658,142.24919169985924,"(99999, 99999)",False,None,False,None
45,45,1.6743262663217138,142.2609488201265,"(99999, 99999)",False,None,False,None
46,46,1.68604282510978,142.27266507845934,"(99999, 99999)",False,None,False,None
47,47,1.6977939362691359,142.28441528825215,"(99999, 99999)",False,None,False,None
48,48,1.709594322113844,142.2962156740973,"(99999, 99999)",False,None,False,None
49,49,1.7212805349067821,142.30790218734546,"(99999, 99999)",False,None,False,None
50,50,1.733052978399428,142.31967433038244,"(99999, 99999)",False,None,False,None
51,51,1.744788165422051,142.33140921694985,"(99999, 99999)",False,None,False,None
52,52,1.7566206999949827,142.34324235243366,"(99999, 99999)",False,None,False,None
53,53,1.7683378596939292,142.35495921167694,"(99999, 99999)",False,None,False,None
54,54,1.7801109040970005,142.36673255653568,"(99999, 99999)",False,None,False,None
55,55,1.7918839485005265,142.3785056009392,"(99999, 99999)",False,None,False,None
56,56,1.8036506833404928,142.3902717348683,"(99999, 99999)",False,None,False,None
57,57,1.8154219250113783,142.40204357745006,"(99999, 99999)",False,None,False,None
58,58,1.8271447933630043,142.41376614534647,"(99999, 99999)",False,None,False,None
59,59,1.8389193400435033,142.42554069202697,"(99999, 99999)",False,None,False,None
60,60,1.850675258488991,142.43729661047246,"(99999, 99999)",False,None,False,None
61,61,1.8624074409581226,142.44902879294114,"(99999, 99999)",False,None,False,None
62,62,1.8741501393660656,142.46077149134953,"(99999, 99999)",False,None,False,None
63,63,1.8859147710181787,142.47253582254598,"(99999, 99999)",False,None,False,None
64,64,1.8977091477549948,142.4843301992828,"(99999, 99999)",False,None,False,None
