,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011608725346377469,205.89433914985057,"[-295.70001220703125, 10.100006103515625]",True,False
1,1,0.024020237475269823,205.90675276516777,"[-295.20001220703125, 10.899993896484318]",True,False
2,2,0.03516593100357568,205.91789785778383,"[-294.70001220703125, 10.500000000000057]",True,False
3,3,0.046845834232954076,205.9295963892473,"[-293.3999938964844, 10.299987792968693]",True,False
4,4,0.05860986497464182,205.94135801634548,"[-293.79998779296875, 10.899993896484318]",True,False
5,5,0.07039162258297438,205.9531247511859,"[-292.70001220703125, 9.399993896484432]",True,False
6,6,0.08218239385496418,205.96491522200267,"[-294.3999938964844, 9.70001220703125]",True,False
7,7,0.09392328953072138,205.97665641813364,"[-292.0, 9.29998779296875]",True,False
8,8,0.1056365433105384,205.98836816963558,"[-292.1000061035156, 8.499999999999943]",True,False
9,9,0.11746757560649712,206.00019950238675,"[-293.3999938964844, 9.70001220703125]",True,False
10,10,0.12925293868102017,206.01198516591649,"[-292.70001220703125, 10.500000000000057]",True,False
11,11,0.14095988289591332,206.02369150922095,"[-290.3999938964844, 10.500000000000057]",True,False
12,12,0.1527142990653374,206.03544592539038,"[-292.29998779296875, 11.100006103515682]",True,False
13,13,0.16449966213986045,206.0472309880097,"[-289.8999938964844, 11.600006103515682]",True,False
14,14,0.17626519515761174,206.05899682148265,"[-289.70001220703125, 11.0]",True,False
15,15,0.18801991178224853,206.0707515381073,"[-290.20001220703125, 10.79998779296875]",True,False
16,16,0.19974999106307223,206.08248221829854,"[-290.70001220703125, 10.700012207031193]",True,False
17,17,0.21147826761080069,206.09420989393766,"[-290.79998779296875, 10.000000000000057]",True,False
18,18,0.2232167596448562,206.1059486864251,"[-291.8999938964844, 10.79998779296875]",True,False
19,19,0.23501714548910968,206.1177640950391,"[-290.6000061035156, 9.899993896484375]",True,False
20,20,0.24681783178857586,206.12954945811362,"[-289.70001220703125, 8.79998779296875]",True,False
21,21,0.25852207190655463,206.14125339777638,"[-288.5, 7.70001220703125]",True,False
22,22,0.2703113409006619,206.1530429672257,"[-289.1000061035156, 9.799987792968693]",True,False
23,23,0.282056442951216,206.16478776882286,"[-290.5, 10.899993896484318]",True,False
24,24,0.29379854044964304,206.17653016677468,"[-306.8999938964844, 8.899993896484432]",True,False
25,25,0.3055595666373847,206.1882908925072,"[-390.8999938964844, -143.2999877929688]",False,False
26,26,0.317339521514441,206.20007084738427,"[-604.7999992370605, -675.4000244140625]",False,False
27,27,0.3292054066369019,206.21193703296194,"(99999, 99999)",False,False
28,28,0.34086277571077517,206.2235941015806,"(99999, 99999)",False,False
29,29,0.35264994151839346,206.23538186829865,"(99999, 99999)",False,False
30,30,0.3644271922967164,206.24715851816654,"(99999, 99999)",False,False
31,31,0.3762011380658805,206.2589324639357,"(99999, 99999)",False,False
32,32,0.3879315178037359,206.27066314412878,"(99999, 99999)",False,False
33,33,0.3996456729473721,206.2823769988172,"(99999, 99999)",False,False
34,34,0.41181081164904754,206.2945424379741,"(99999, 99999)",False,False
35,35,0.4236045874749834,206.30633621380002,"(99999, 99999)",False,False
36,36,0.43536771684921405,206.31809964363129,"(99999, 99999)",False,False
37,37,0.44709509203312336,206.32982671835816,"(99999, 99999)",False,False
38,38,0.4588431986376236,206.34157482496266,"(99999, 99999)",False,False
39,39,0.47063336899918795,206.35336529577944,"(99999, 99999)",False,False
40,40,0.48238057423805003,206.36511190010788,"(99999, 99999)",False,False
41,41,0.49414430452452507,206.37687593084956,"(99999, 99999)",False,False
42,42,0.5059344748842705,206.38867902079255,"(99999, 99999)",False,False
43,43,0.5176624509786052,206.40039377684843,"(99999, 99999)",False,False
44,44,0.5294090553070419,206.41214068163208,"(99999, 99999)",False,False
45,45,0.5411682787616883,206.42389990508673,"(99999, 99999)",False,False
46,46,0.5529476327283191,206.43567895859815,"(99999, 99999)",False,False
