,"(329.3333333333333, 0.0)","(292.8888888888889, 60.0)","(282.8574735449736, 71.33333333333333)","(226.64914021164023, 116.6666666666667)","(170.4408068783069, 79.25)","(151.125, 60.0)","(120.5, 0.0)","(115.375, -24.708333333333325)","(120.71428571428572, -60.0)","(170.4408068783069, -118.83333333333334)","(226.64914021164023, -155.83333333333331)","(282.8574735449736, -140.83333333333331)","(345.33333333333337, -60.0)","(336.5, -24.708333333333325)"
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, 35)","(3, -10)","(3, -10)","(3, -10)","(3, -10)","(3, -10)","(3, -10)","(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 35)","(4, 5)","(4, 5)","(4, -40)","(4, 5)","(4, 5)","(4, 5)","(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 20)","(5, 20)","(5, 35)","(5, 5)","(5, 5)","(5, -25)","(5, 5)","(5, 5)","(5, 5)","(5, 20)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, 5)","(6, 20)","(6, 20)","(6, 28)","(6, 5)","(6, 5)","(6, -10)","(6, 5)","(6, 5)","(6, 5)","(6, 20)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 28)","(7, -2)","(7, -2)","(7, 5)","(7, -2)","(7, -2)","(7, -2)","(7, 20)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 20)","(8, 13)","(8, 13)","(8, 28)","(8, -2)","(8, 1)","(8, 5)","(8, -2)","(8, -2)","(8, -2)","(8, 13)","(8, 20)","(8, 13)","(8, 20)"
8,"(9, 20)","(9, 13)","(9, 13)","(9, 21)","(9, -2)","(9, 1)","(9, 5)","(9, -2)","(9, -2)","(9, -2)","(9, 13)","(9, 13)","(9, 13)","(9, 13)"
9,"(10, 13)","(10, 13)","(10, 13)","(10, 21)","(10, -9)","(10, 4)","(10, -2)","(10, -9)","(10, -9)","(10, -9)","(10, 13)","(10, 13)","(10, 13)","(10, 13)"
10,"(11, 13)","(11, 6)","(11, 6)","(11, 21)","(11, -9)","(11, 7)","(11, -2)","(11, -6)","(11, -6)","(11, -6)","(11, 6)","(11, 13)","(11, 6)","(11, 13)"
11,"(12, 13)","(12, 6)","(12, 9)","(12, 14)","(12, -9)","(12, 7)","(12, -2)","(12, -6)","(12, -3)","(12, -6)","(12, 6)","(12, 6)","(12, 9)","(12, 6)"
12,"(13, 6)","(13, 9)","(13, 9)","(13, 14)","(13, -16)","(13, 7)","(13, -9)","(13, -3)","(13, 0)","(13, -3)","(13, 9)","(13, 6)","(13, 9)","(13, 6)"
13,"(14, 6)","(14, 9)","(14, 12)","(14, 17)","(14, -13)","(14, 4)","(14, -6)","(14, -3)","(14, 3)","(14, -3)","(14, 9)","(14, 6)","(14, 12)","(14, 6)"
14,"(15, 9)","(15, 12)","(15, 12)","(15, 20)","(15, -10)","(15, 4)","(15, -3)","(15, -3)","(15, 3)","(15, -3)","(15, 12)","(15, -1)","(15, 12)","(15, -1)"
15,"(16, 12)","(16, 12)","(16, 12)","(16, 20)","(16, -7)","(16, 4)","(16, -3)","(16, -6)","(16, 3)","(16, 0)","(16, 12)","(16, -1)","(16, 15)","(16, 2)"
16,"(17, 12)","(17, 12)","(17, 9)","(17, 20)","(17, -4)","(17, 1)","(17, 0)","(17, -3)","(17, 0)","(17, 0)","(17, 12)","(17, 2)","(17, 15)","(17, 5)"
17,"(18, 12)","(18, 9)","(18, 12)","(18, 17)","(18, -1)","(18, 4)","(18, 3)","(18, -3)","(18, 0)","(18, 0)","(18, 9)","(18, 2)","(18, 15)","(18, 8)"
18,"(19, 9)","(19, 9)","(19, 12)","(19, 17)","(19, -1)","(19, 4)","(19, 3)","(19, -3)","(19, 0)","(19, -3)","(19, 9)","(19, 2)","(19, 12)","(19, 8)"
19,"(20, 9)","(20, 9)","(20, 12)","(20, 20)","(20, -1)","(20, 4)","(20, 3)","(20, -6)","(20, 3)","(20, -3)","(20, 9)","(20, -1)","(20, 15)","(20, 8)"
20,,,,,"(21, 2)",,,,,,,,,
21,,,,,"(22, 2)",,,,,,,,,
22,,,,,"(23, 2)",,,,,,,,,
