,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011564754005121358,274.4671616426931,"[-269.20001220703125, -70.4000244140625]",False,False
1,1,0.02397851478326629,274.4795772062248,"[-269.79998779296875, -72.0999755859375]",False,False
2,2,0.034888478662196576,274.4904862687272,"[-270.3999938964844, -71.59997558593756]",False,False
3,3,0.04669621379662203,274.5022940038616,"[-270.29998779296875, -73.0]",False,False
4,4,0.058412008501363744,274.51400979856635,"[-270.70001220703125, -72.5999755859375]",False,False
5,5,0.07019120003860735,274.52578868964474,"[-270.6000061035156, -72.79998779296875]",False,False
6,6,0.08196528377402501,274.53756337429786,"[-271.29998779296875, -74.2000122070312]",False,False
7,7,0.09373756475633854,274.549335054362,"[-273.6000061035156, -73.7999877929688]",False,False
8,8,0.10545426083763232,274.56105235136147,"[-274.5, -73.70001220703125]",False,False
9,9,0.1172836290147643,274.5728811186209,"[-275.0, -73.70001220703125]",False,False
10,10,0.1289859030680418,274.584583693133,"[-275.3999938964844, -73.4000244140625]",False,False
11,11,0.1407804180103085,274.596377907616,"[-273.6000061035156, -75.7999877929688]",False,False
12,12,0.15254638935493858,274.6081438789606,"[-273.20001220703125, -73.9000244140625]",False,False
13,13,0.16433850062549027,274.6199362906905,"[-273.70001220703125, -73.29998779296875]",False,False
14,14,0.17607112102996325,274.63166891109495,"[-273.8999938964844, -73.9000244140625]",False,False
15,15,0.18785181486191505,274.64344960492645,"[-272.6000061035156, -73.99999999999994]",False,False
16,16,0.19954958203152273,274.65514737209605,"[-273.0, -74.2000122070312]",False,False
17,17,0.21132396622579108,274.6669214558319,"[-274.1000061035156, -73.0]",False,False
18,18,0.22315393532062444,274.6787517253856,"[-275.3999938964844, -74.2000122070312]",False,False
19,19,0.23490248004782188,274.69050057057166,"[-276.70001220703125, -60.20001220703125]",False,False
20,20,0.24662638714335117,274.7022238767495,"[-284.5, -135.0]",False,False
21,21,0.258383945638343,274.7139817357033,"[-279.79998779296875, -319.49999999999994]",False,False
22,22,0.27013158898898837,274.72574410154084,"(99999, 99999)",False,False
23,23,0.28189635849776096,274.73749414856275,"(99999, 99999)",False,False
24,24,0.2936671371853663,274.74926462679105,"(99999, 99999)",False,False
25,25,0.3054237943033513,274.7610215843679,"(99999, 99999)",False,False
26,26,0.3172294262253672,274.7728269158315,"(99999, 99999)",False,False
27,27,0.3289623470886909,274.7845607380714,"(99999, 99999)",False,False
28,28,0.34074844918086455,274.796345938787,"(99999, 99999)",False,False
29,29,0.3524774640782198,274.80807495368435,"(99999, 99999)",False,False
30,30,0.3642139904486612,274.81981178051365,"(99999, 99999)",False,False
31,31,0.3759805627114474,274.8315786532353,"(99999, 99999)",False,False
32,32,0.38770537118352877,274.8433031612485,"(99999, 99999)",False,False
33,33,0.3995443540461565,274.8551418436523,"(99999, 99999)",False,False
34,34,0.41127967858074044,274.8668774686457,"(99999, 99999)",False,False
35,35,0.42308020270138513,274.8786776923075,"(99999, 99999)",False,False
36,36,0.43485819240277124,274.89045598246776,"(99999, 99999)",False,False
37,37,0.44656016599719806,274.9021579560622,"(99999, 99999)",False,False
