,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011606261614360847,6.613742048823042,"[-321.6000061035156, 6.500000000000057]",True,False
1,1,0.023518116413470125,6.62565480498597,"[-322.0, 4.20001220703125]",True,False
2,2,0.03502555824161391,6.63716194636072,"[-321.6000061035156, 5.70001220703125]",True,False
3,3,0.0467913917163969,6.648927479378472,"[-320.29998779296875, 4.899993896484375]",True,False
4,4,0.058520269176369766,6.660656657295476,"[-319.20001220703125, 4.20001220703125]",True,False
5,5,0.07027348352130502,6.672409571187018,"[-289.8999938964844, 3.600006103515682]",True,False
6,6,0.08203360834158957,6.684169996464334,"[-281.29998779296875, 9.29998779296875]",True,False
7,7,0.09380004272679798,6.695936130392511,"[-288.6000061035156, 6.899993896484375]",True,False
8,8,0.10554844978832989,6.707700461589411,"[-285.6000061035156, 9.20001220703125]",True,False
9,9,0.11731127870734781,6.7194473663730605,"[-285.0, 10.20001220703125]",True,False
10,10,0.12907050216381322,6.73120689028292,"[-285.5, 9.899993896484375]",True,False
11,11,0.14084234474648838,6.742978432408563,"[-286.5, 9.20001220703125]",True,False
12,12,0.15260307047719834,6.754739158139273,"[-286.1000061035156, 7.600006103515682]",True,False
13,13,0.16436950486240676,6.7665055925244815,"[-285.6000061035156, 8.499999999999943]",True,False
14,14,0.1761365401580406,6.778272627820115,"[-286.70001220703125, 9.100006103515625]",True,False
15,15,0.18788735086127417,6.790023438523349,"[-283.79998779296875, 9.20001220703125]",True,False
16,16,0.19973821321400465,6.801874300876079,"[-282.20001220703125, 9.20001220703125]",True,False
17,17,0.21139978866267484,6.813536176781781,"[-280.1000061035156, 8.700012207031307]",True,False
18,18,0.2231542048320989,6.825290592951205,"[-284.20001220703125, 8.100006103515625]",True,False
19,19,0.23492875150986947,6.837064839175582,"[-286.6000061035156, 10.20001220703125]",True,False
20,20,0.24677931340920622,6.848916001981706,"[-285.6000061035156, 9.899993896484375]",True,False
21,21,0.25850608768087113,6.8606424757999775,"[-284.29998779296875, 10.000000000000057]",True,False
22,22,0.2702809348156734,6.872417022481386,"[-282.20001220703125, 9.799987792968693]",True,False
23,23,0.28200981227564625,6.884146200394753,"[-281.6000061035156, 9.5]",True,False
24,24,0.2937663316333783,6.895902419295453,"[-281.6000061035156, 9.20001220703125]",True,False
25,25,0.3055000163767545,6.907636404495861,"[-281.6000061035156, 8.20001220703125]",True,False
26,26,0.31724331569785136,6.9193800042703515,"[-282.1000061035156, 8.700012207031307]",True,False
27,27,0.32899833277770085,6.931134420439776,"[-284.5, 10.100006103515625]",True,False
28,28,0.34078850313744624,6.942924590799521,"[-285.5, 9.70001220703125]",True,False
29,29,0.3525272956248955,6.954663683744002,"[-282.70001220703125, 8.499999999999943]",True,False
30,30,0.36427750541770365,6.96641389353681,"[-281.79998779296875, 7.29998779296875]",True,False
31,31,0.3760559580186964,6.978192045680771,"[-282.3999938964844, 8.399993896484375]",True,False
32,32,0.3877884409412218,6.9899245286069345,"[-284.1000061035156, 10.100006103515625]",True,False
33,33,0.3995617858017795,7.001698474377918,"[-284.20001220703125, 8.899993896484432]",True,False
34,34,0.4113246147207974,7.013461002839904,"[-282.29998779296875, 6.79998779296875]",True,False
35,35,0.4231751766164962,7.025311564739241,"[-280.1000061035156, 5.899993896484375]",True,False
36,36,0.4348598871329159,7.036995974798629,"[-280.70001220703125, 5.600006103515568]",True,False
37,37,0.4466073928269907,7.048743480492703,"[-282.0, 6.600006103515625]",True,False
38,38,0.45836511400557356,7.06050150212468,"[-283.5, 6.79998779296875]",True,False
39,39,0.4701429656961409,7.072279353815247,"[-285.3999938964844, 8.600006103515625]",True,False
40,40,0.4819009873281175,7.084037375447224,"[-287.3999938964844, 7.799987792968807]",True,False
41,41,0.4937079831943265,7.095844371313433,"[-287.5, 7.899993896484375]",True,False
42,42,0.5054047119265306,7.107540799588605,"[-286.8999938964844, 7.799987792968807]",True,False
43,43,0.5171624331014755,7.119298821220582,"[-288.5, 7.600006103515682]",True,False
44,44,0.5289414866128936,7.131077574278606,"[-289.29998779296875, 7.100006103515625]",True,False
45,45,0.5407322578867024,7.142868646005809,"[-288.6000061035156, 7.399993896484318]",True,False
46,46,0.5524782613028947,7.154614649422001,"[-287.29998779296875, 7.200012207031193]",True,False
47,47,0.5642275697318837,7.166363657393958,"[-288.79998779296875, 6.79998779296875]",True,False
48,48,0.5760063227862702,7.178142710905377,"[-291.6000061035156, 8.20001220703125]",True,False
49,49,0.587782672198955,7.189918759864668,"[-291.20001220703125, 8.79998779296875]",True,False
50,50,0.5994944237027084,7.201630511364783,"[-290.1000061035156, 7.200012207031193]",True,False
51,51,0.6112521448776533,7.213388232543366,"[-288.20001220703125, 5.399993896484432]",True,False
52,52,0.6230050587691949,7.225141446888301,"[-289.5, 5.70001220703125]",True,False
53,53,0.634817162375839,7.236953850951977,"[-291.29998779296875, 5.200012207031307]",True,False
54,54,0.6465265102342528,7.2486625978999655,"[-288.5, 3.399993896484318]",True,False
55,55,0.6582899400636961,7.260426027729409,"[-285.8999938964844, 2.399993896484375]",True,False
56,56,0.6700491635201615,7.272185251185874,"[-284.6000061035156, 1.29998779296875]",True,False
57,57,0.6818225083807192,7.283958596042794,"[-285.79998779296875, 1.3999938964844318]",True,False
58,58,0.6935841354788863,7.295720523597993,"[-288.20001220703125, 2.399993896484375]",True,False
59,59,0.7053337443576311,7.307469832023344,"[-288.6000061035156, 3.200012207031193]",True,False
60,60,0.7170923669036711,7.319228454565746,"[-287.3999938964844, 2.70001220703125]",True,False
61,61,0.7288681154059304,7.331004503525037,"[-286.6000061035156, 1.29998779296875]",True,False
62,62,0.7406471689173486,7.342783256579423,"[-286.6000061035156, 0.70001220703125]",True,False
63,63,0.7523709386332484,7.354507026298961,"[-286.5, -0.29998779296869316]",True,False
64,64,0.7641322652780218,7.3662683529400965,"[-283.8999938964844, -0.600006103515625]",True,False
65,65,0.7759089151441003,7.378045303266845,"[-283.20001220703125, -0.399993896484375]",True,False
66,66,0.7877576743085228,7.389894062427629,"[-286.6000061035156, 1.600006103515625]",True,False
67,67,0.7994153438412468,7.401551731960353,"[-285.79998779296875, 0.9999999999999432]",True,False
68,68,0.8111757691149251,7.4133121572340315,"[-283.8999938964844, 0.399993896484375]",True,False
69,69,0.8229542217159178,7.4250903093816305,"[-282.3999938964844, -2.100006103515682]",True,False
70,70,0.8347302706752089,7.436866358337284,"[-302.6000061035156, 1.8999938964844318]",True,False
71,71,0.8464798795575916,7.448616267676698,"[-287.29998779296875, 1.70001220703125]",True,False
72,72,0.858241206198727,7.46037729386444,"[-288.8999938964844, 1.70001220703125]",True,False
73,73,0.8699790973223571,7.4721154854414635,"[-288.6000061035156, 2.399993896484375]",True,False
74,74,0.881770769959985,7.4839071580790915,"[-290.0, 2.299987792968693]",True,False
75,75,0.8935173742866027,7.495653461952315,"[-287.8999938964844, 3.5]",True,False
76,76,0.9052588708727853,7.507395258991892,"[-286.20001220703125, 1.2000122070313068]",True,False
77,77,0.9170201975175587,7.519156585636665,"[-285.5, 0.20001220703125]",True,False
78,78,0.9287971478406689,7.530933235502744,"[-286.6000061035156, -1.600006103515625]",True,False
79,79,0.9405563712934963,7.542692759412603,"[-288.3999938964844, -1.600006103515625]",True,False
80,80,0.952348344388156,7.554484432053869,"[-286.29998779296875, -0.399993896484375]",True,False
