,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.01161321842482721,778.0402935784878,"[-324.8999938964844, -9.70001220703125]",True,False
1,1,0.02336410998032079,778.0520453714398,"[-327.6000061035156, -10.700012207031307]",True,False
2,2,0.03504228896781569,778.0637238508934,"[-331.70001220703125, -8.79998779296875]",True,False
3,3,0.0467793591269583,778.0754603201221,"[-329.5, -9.899993896484375]",True,False
4,4,0.058546475800540065,778.0872274367939,"[-327.79998779296875, -10.79998779296875]",True,False
5,5,0.07027333014411852,778.0989542911375,"[-331.6000061035156, -8.700012207031193]",True,False
6,6,0.0820335361186153,778.1107141966477,"[-330.79998779296875, -9.20001220703125]",True,False
7,7,0.09379103790706722,778.1224722993666,"[-330.79998779296875, -10.20001220703125]",True,False
8,8,0.10565850993953063,778.134339771399,"[-331.5, -9.20001220703125]",True,False
9,9,0.11738506381880143,778.1460663252783,"[-332.6000061035156, -8.79998779296875]",True,False
10,10,0.12912513862829655,778.1578060996235,"[-332.29998779296875, -8.399993896484375]",True,False
11,11,0.14090036786001292,778.16958223025,"[-333.29998779296875, -8.399993896484375]",True,False
12,12,0.1526437477878062,778.1813250092473,"[-332.3999938964844, -10.20001220703125]",True,False
13,13,0.16441176585612993,778.1930930273156,"[-331.70001220703125, -9.999999999999943]",True,False
14,14,0.17616656345853698,778.2048475244519,"[-333.5, -9.20001220703125]",True,False
15,15,0.18790633780190547,778.2165875992614,"[-334.20001220703125, -8.399993896484375]",True,False
16,16,0.19969869354827097,778.2283796545435,"[-331.29998779296875, -8.79998779296875]",True,False
17,17,0.21144958510376455,778.240130546099,"[-334.29998779296875, -7.200012207031307]",True,False
18,18,0.22321910549908353,778.2519000664925,"[-334.5, -6.700012207031193]",True,False
19,19,0.23497210031018767,778.2636527608392,"[-330.6000061035156, -6.899993896484375]",True,False
20,20,0.2467196867473831,778.2754006477426,"[-330.70001220703125, -3.79998779296875]",True,False
21,21,0.2585225587736204,778.2872038202331,"[-328.6000061035156, 20.399993896484432]",True,False
22,22,0.2702566242805915,778.2989378857401,"[-341.29998779296875, 9.29998779296875]",True,False
23,23,0.28201562839603866,778.3106965893894,"[-369.6000061035156, -179.0999755859375]",False,False
24,24,0.29375420087853854,778.3224354623399,"[-453.3000030517578, -542.2000122070312]",False,False
25,25,0.3055790068610804,778.3342602683206,"(99999, 99999)",False,False
26,26,0.3172502751513093,778.3459315366108,"(99999, 99999)",False,False
27,27,0.329006274614585,778.3576869351436,"(99999, 99999)",False,False
28,28,0.34076918477512663,778.3694504462364,"[-436.1000061035156, -610.8000488281251]",False,False
29,29,0.35260120192106115,778.3812821629162,"[-338.1000061035156, -434.7000122070313]",False,False
30,30,0.3643064227744617,778.3930006042356,"[-314.79998779296875, -325.7000122070313]",False,False
31,31,0.3760993794494425,778.4047803404446,"[-308.5, -238.70001220703125]",False,False
32,32,0.3878409565859329,778.4165222180454,"[-293.70001220703125, -171.7000122070312]",False,False
33,33,0.39970001559595403,778.4283809765893,"[-294.70001220703125, -123.9000244140625]",False,False
34,34,0.4114181564491446,778.4400994179086,"[-291.70001220703125, -88.70001220703125]",False,False
35,35,0.4231414052101172,778.4518220657392,"[-288.29998779296875, -61.79998779296875]",False,False
36,36,0.43485293583034945,778.4635341972898,"[-283.29998779296875, -41.0]",True,False
37,37,0.44665340413666854,778.4753340646657,"[-282.0, -28.100006103515568]",True,False
38,38,0.45844275523086253,778.4871237162242,"[-278.79998779296875, -16.399993896484318]",True,False
39,39,0.47013806073300657,778.4988196226568,"[-276.1000061035156, -8.299987792968807]",True,False
40,40,0.4819502471782471,778.5106312081734,"[-275.5, -3.000000000000057]",True,False
41,41,0.49369302617560606,778.5223742876351,"[-276.70001220703125, 3.000000000000057]",True,False
42,42,0.5054210823782341,778.5341023438377,"[-274.70001220703125, 6.100006103515568]",True,False
43,43,0.517239879058252,778.5459208400516,"[-272.5, 7.799987792968807]",True,False
44,44,0.5289898692171846,778.5576708302124,"[-266.70001220703125, 2.600006103515625]",True,False
45,45,0.5407023012339778,778.5693832622273,"[-267.5, 4.79998779296875]",True,False
46,46,0.552526806750393,778.5812077677456,"[-265.3999938964844, 6.100006103515568]",True,False
47,47,0.5642224127186637,778.5929036741782,"[-277.3999938964844, 8.100006103515625]",True,False
48,48,0.5760339982334699,778.604715259693,"[-323.20001220703125, 21.399993896484375]",True,False
49,49,0.5878023167679203,778.6164832777613,"[-310.8999938964844, 26.0]",True,False
50,50,0.5995568139042007,778.6282380753637,"[-309.1000061035156, 20.79998779296875]",True,False
51,51,0.6113170198786975,778.6399979808739,"[-310.0, 23.100006103515625]",True,False
52,52,0.6230721179472312,778.6517533794067,"[-313.0, 31.200012207031307]",True,False
53,53,0.6348713843908627,778.6635658663181,"[-308.79998779296875, 24.0]",True,False
54,54,0.6465847178023978,778.675266279728,"[-312.20001220703125, 32.500000000000114]",True,False
55,55,0.6583283981944987,778.6870093591879,"[-308.6000061035156, 23.899993896484432]",True,False
56,56,0.6700732804456493,778.698754541907,"[-307.8999938964844, 26.399993896484318]",True,False
57,57,0.6818557208425773,778.7105366818378,"[-306.8999938964844, 25.20001220703125]",True,False
58,58,0.693650480308861,778.7223320422345,"[-307.79998779296875, 26.600006103515682]",True,False
59,59,0.7054049774469604,778.7340859384403,"[-308.8999938964844, 27.700012207031307]",True,False
60,60,0.7171543666754587,778.7458353276706,"[-308.29998779296875, 26.999999999999943]",True,False
61,61,0.7288905354380404,778.7575871206209,"[-309.1000061035156, 28.899993896484375]",True,False
62,62,0.7406798865340534,778.7693608475274,"[-308.5, 28.799987792968693]",True,False
63,63,0.7524151539000741,778.7810964153596,"[-307.1000061035156, 27.899993896484432]",True,False
64,64,0.7642093124377425,778.7928902734329,"[-306.6000061035156, 27.600006103515625]",True,False
65,65,0.7759175379414955,778.804598799401,"[-306.8999938964844, 27.899993896484432]",True,False
66,66,0.7877104946182953,778.8163914556117,"[-301.3999938964844, 26.100006103515682]",True,False
67,67,0.7994580810554908,778.8281393425168,"[-220.29998779296875, -18.70001220703125]",False,False
68,68,0.811281685177164,778.8399626461724,"[-217.10000610351562, -31.29998779296875]",False,False
69,69,0.8229811971923482,778.8516624586518,"[-220.29998779296875, -15.899993896484375]",False,False
70,70,0.8347987920114974,778.8634797530049,"[-217.10000610351562, -21.899993896484375]",False,False
