,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011602251278418407,3.811706901121397,"[-292.8999938964844, 48.5]",False,False
1,1,0.023429816701536765,3.823535968838769,"[-291.29998779296875, 46.600006103515625]",True,False
2,2,0.0350122076461048,3.835117758864726,"[-292.3999938964844, 47.29998779296875]",True,False
3,3,0.04679590606701822,3.8469014572856395,"[-288.6000061035156, 46.100006103515625]",True,False
4,4,0.05857179255599476,3.8586773437755255,"[-321.3999938964844, 32.100006103515625]",True,False
5,5,0.07029419735681586,3.8704000490351973,"[-320.8999938964844, 20.5]",True,False
6,6,0.08207038430464308,3.8821762359830245,"[-319.29998779296875, 21.20001220703125]",True,False
7,7,0.09382974555319379,3.8939355972315752,"[-320.5, 20.5]",True,False
8,8,0.10558910680174449,3.9056946580212752,"[-319.1000061035156, 17.600006103515625]",True,False
9,9,0.11734125703605969,3.9174468082555904,"[-320.29998779296875, 19.100006103515682]",True,False
10,10,0.12910151966116246,3.929207070880693,"[-320.1000061035156, 17.600006103515625]",True,False
11,11,0.1408846171643745,3.940989867924145,"[-320.5, 17.799987792968693]",True,False
12,12,0.15262985684330488,3.9527354080628356,"[-319.6000061035156, 18.600006103515682]",True,False
13,13,0.16448957137072284,3.9645951225902536,"[-319.8999938964844, 17.799987792968693]",True,False
14,14,0.1761485793394968,3.9762544310178782,"[-318.3999938964844, 18.100006103515625]",True,False
15,15,0.18789742452645442,3.9880032762039264,"[-318.1000061035156, 18.200012207031193]",True,False
16,16,0.19970275598916487,3.9998083072086956,"[-320.29998779296875, 19.299987792968807]",True,False
17,17,0.21144859658579662,4.011554147805327,"[-317.3999938964844, 18.70001220703125]",True,False
18,18,0.2231836206619846,4.023289171881515,"[-319.20001220703125, 17.799987792968693]",True,False
19,19,0.23495019292477082,4.035055744143392,"[-320.79998779296875, 19.0]",True,False
20,20,0.2468017950614012,4.046907346280932,"[-321.70001220703125, 21.700012207031193]",True,False
21,21,0.25847372276439273,4.058579273983014,"[-320.5, 22.100006103515625]",True,False
22,22,0.2702261734575586,4.070332025135031,"[-319.29998779296875, 22.70001220703125]",True,False
23,23,0.28201197509042686,4.082117526309958,"[-318.70001220703125, 22.799987792968807]",True,False
24,24,0.29376712991415843,4.093872681133689,"[-317.6000061035156, 21.600006103515625]",True,False
25,25,0.30550876408597105,4.105614315305502,"[-319.6000061035156, 21.299987792968693]",True,False
26,26,0.31727082946508744,4.117376380683709,"[-320.3999938964844, 24.5]",True,False
27,27,0.32903229392559297,4.129137845145124,"[-319.6000061035156, 26.0]",True,False
28,28,0.3408135886747914,4.140919139894322,"[-320.29998779296875, 23.399993896484375]",True,False
29,29,0.3525534200934999,4.152658971313031,"[-321.29998779296875, 21.79998779296875]",True,False
30,30,0.36432900612362573,4.1644345573431565,"[-320.79998779296875, 20.899993896484375]",True,False
31,31,0.37607064029543835,4.176176191514969,"[-320.0, 22.600006103515682]",True,False
32,32,0.38783510934626975,4.187940660564891,"[-320.8999938964844, 24.5]",True,False
33,33,0.3995878604982863,4.199693411716908,"[-321.1000061035156, 24.899993896484375]",True,False
34,34,0.41135172863050684,4.211457279849128,"[-321.1000061035156, 25.100006103515625]",True,False
35,35,0.4231146953852658,4.223220246604797,"[-321.6000061035156, 24.70001220703125]",True,False
36,36,0.43491011170408456,4.235015662923615,"[-321.20001220703125, 25.399993896484375]",True,False
37,37,0.44665475046531355,4.246760602143695,"[-320.6000061035156, 25.299987792968693]",True,False
38,38,0.45856073566756095,4.258666286887092,"[-320.79998779296875, 25.299987792968693]",True,False
39,39,0.4701533422148714,4.270258893434402,"[-320.8999938964844, 25.299987792968693]",True,False
40,40,0.48191300392227276,4.282018555140894,"[-320.3999938964844, 25.600006103515625]",True,False
41,41,0.4937231427284132,4.2938286939470345,"[-322.1000061035156, 25.79998779296875]",True,False
42,42,0.5054740911264162,4.305579642345947,"[-322.79998779296875, 26.999999999999943]",True,False
43,43,0.5171925899621783,4.3172981411808,"[-323.3999938964844, 28.899993896484375]",True,False
44,44,0.5289549557992359,4.329060807477617,"[-323.6000061035156, 30.100006103515682]",True,False
45,45,0.540764493687675,4.340870044907206,"[-323.8999938964844, 29.200012207031193]",True,False
46,46,0.5524736782963373,4.352579529974719,"[-323.20001220703125, 30.399993896484375]",True,False
47,47,0.5642489638676125,4.364354515086234,"[-323.0, 31.899993896484432]",True,False
48,48,0.5759990108890634,4.376104862567445,"[-323.29998779296875, 31.200012207031307]",True,False
49,49,0.5878019386809683,4.387907489900499,"[-323.70001220703125, 32.0]",True,False
50,50,0.5995165315498525,4.399622082769383,"[-324.70001220703125, 33.70001220703125]",True,False
51,51,0.6112776955524168,4.411383246771038,"[-324.8999938964844, 33.0]",True,False
52,52,0.6230382586363703,4.423143809854992,"[-325.20001220703125, 32.0]",True,False
53,53,0.6348453928530944,4.434950944072625,"[-324.79998779296875, 31.600006103515625]",True,False
54,54,0.6465620889348429,4.446667640153464,"[-324.8999938964844, 34.0]",True,False
