,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011578959069993289,85.03111096956854,"[-301.0, 32.20001220703125]",True,False
1,1,0.02328605747857182,85.042818969309,"[-309.5, 32.799987792968636]",True,False
2,2,0.035026805608026734,85.0545594169945,"[-324.1000061035156, 28.399993896484375]",True,False
3,3,0.04672849602582119,85.06626140785625,"[-325.70001220703125, 29.29998779296875]",True,False
4,4,0.05850049032460447,85.07803340215503,"[-326.20001220703125, 29.399993896484375]",True,False
5,5,0.07023132380413699,85.0897639351906,"[-326.0, 29.79998779296875]",True,False
6,6,0.0820177394118673,85.10155035079833,"[-325.6000061035156, 28.5]",True,False
7,7,0.09375097644283414,85.1132835878293,"[-327.0, 30.0]",True,False
8,8,0.10555091202763833,85.1250856265217,"[-328.70001220703125, 29.600006103515625]",True,False
9,9,0.11735385205190596,85.13690148563512,"[-327.79998779296875, 30.600006103515625]",True,False
10,10,0.12906786067094345,85.14860137338928,"[-328.3999938964844, 32.29998779296875]",True,False
11,11,0.14081852345032075,85.16035203616855,"[-328.8999938964844, 32.20001220703125]",True,False
12,12,0.15260854438520255,85.1721423575475,"[-329.70001220703125, 32.799987792968636]",True,False
13,13,0.16436040894029702,85.18389422210248,"[-328.3999938964844, 34.5]",True,False
14,14,0.17611587882265667,85.19565029287264,"[-329.20001220703125, 34.20001220703125]",True,False
15,15,0.18791761707109345,85.20745173067723,"[-330.70001220703125, 34.79998779296875]",True,False
16,16,0.199615401717665,85.21914801310413,"[-329.70001220703125, 34.600006103515625]",True,False
17,17,0.21136215872581943,85.23089477011229,"[-330.0, 34.0]",True,False
18,18,0.22312093349137285,85.24265354487784,"[-330.79998779296875, 34.899993896484375]",True,False
19,19,0.23497344676502507,85.25450605815149,"[-329.70001220703125, 33.70001220703125]",True,False
20,20,0.2466228599379292,85.26615577176835,"[-330.20001220703125, 34.20001220703125]",True,False
21,21,0.2584065715501538,85.27793948338058,"[-329.29998779296875, 34.899993896484375]",True,False
22,22,0.27015422989018134,85.2896871417206,"[-328.70001220703125, 35.100006103515625]",True,False
23,23,0.2819875147519042,85.30152012613837,"[-328.70001220703125, 33.70001220703125]",True,False
24,24,0.2936895056135427,85.31322211700001,"[-325.5, 30.0]",True,False
25,25,0.30549064297406403,85.32502325436064,"[-324.20001220703125, 29.899993896484318]",True,False
