,frameN,routine_time,global_time,gaze,good_fixation,button,stimulus_display,recorded_response
0,0,1.123851120202744,130.65303815047082,"[-287.1000061035156, 0.7999877929688068]",True,None,False,None
1,1,1.1334462758441077,130.66263360657103,"[-286.70001220703125, 0.0]",True,None,False,None
2,2,1.144289537842269,130.67348948784456,"[-287.70001220703125, 0.399993896484375]",True,None,False,None
3,3,1.1559888073061302,130.68517553711536,"[-287.79998779296875, 0.0]",True,None,False,None
4,4,1.1677685997601657,130.69695502911236,"[-287.70001220703125, -0.70001220703125]",True,None,False,None
5,5,1.1795583073599119,130.70876006011713,"[-286.1000061035156, 0.29998779296880684]",True,None,False,None
6,6,1.1913212741164898,130.72050800392572,"[-286.20001220703125, -6.299987792968807]",True,None,False,None
7,7,1.2030304587242426,130.73221688807462,"[-323.6000061035156, 101.89999389648438]",False,None,False,None
8,8,1.2148408979883243,130.74402732734052,"[-317.8999938964844, -94.9000244140625]",False,None,False,None
9,9,1.2266038647449022,130.75579029409528,"(99999, 99999)",False,None,False,None
10,10,1.2383259690868726,130.76751239843725,"(99999, 99999)",False,None,False,None
11,11,1.250114474851216,130.77930120466044,"(99999, 99999)",False,None,False,None
12,12,1.2618648223306081,130.79105155214165,"(99999, 99999)",False,None,False,None
13,13,1.2735956399828865,130.80278206933326,"(99999, 99999)",False,None,False,None
14,14,1.285358005819944,130.8145594581165,"(99999, 99999)",False,None,False,None
15,15,1.2971188693627482,130.82630499825427,"(99999, 99999)",False,None,False,None
16,16,1.3088788315290003,130.83806526087938,"[-406.0, -349.5999755859375]",False,None,False,None
17,17,1.3206523143471713,130.8498390441564,"[-350.1000061035156, -86.70001220703125]",False,None,False,None
18,18,1.3324179852315865,130.86160441458378,"[-356.79998779296875, 68.39999389648438]",False,None,False,None
19,19,1.3441569152746524,130.87334334462503,"[-297.20001220703125, 148.89999389648438]",False,None,False,None
20,20,1.3559219852413662,130.88510841459356,"[-325.1000061035156, 102.89999389648438]",False,None,False,None
21,21,1.3676897593395552,130.89687618869175,"[-301.8999938964844, 22.29998779296875]",True,None,False,None
22,22,1.379471054089663,130.90865748344004,"[-300.5, -21.0]",True,None,False,None
23,23,1.3911988671516156,130.920385296502,"[-300.0, -24.29998779296875]",True,None,False,None
24,24,1.4029618339063745,130.93214826325857,"[-300.3999938964844, -25.100006103515625]",True,None,False,None
25,25,1.4151682780302508,130.94435500783948,"[-299.70001220703125, -25.500000000000057]",True,None,False,None
26,26,1.4269940406993555,130.95618047004973,"[-298.70001220703125, -24.600006103515682]",True,None,False,None
27,27,1.4386749821696867,130.96786141152006,"[-300.20001220703125, -23.899993896484318]",True,None,False,None
28,28,1.450444258562129,130.9796312888302,"[-298.8999938964844, -25.600006103515625]",True,None,False,None
29,29,1.4622282574418932,130.99141468679227,"[-297.5, -26.20001220703125]",True,None,False,None
30,30,1.473942249393076,131.00312897920412,"[-299.5, -25.299987792968807]",True,None,False,None
31,31,1.4856847849423502,131.01487121429273,"[-299.0, -24.999999999999943]",True,None,False,None
32,32,1.4974429443554982,131.02662937370587,"[-298.29998779296875, -26.29998779296875]",True,None,False,None
33,33,1.5092218354329816,131.0384085652422,"[-297.29998779296875, -23.20001220703125]",True,None,False,None
34,34,1.521015148538936,131.05020187834998,"[-299.3999938964844, -22.899993896484375]",True,None,False,None
35,35,1.5328279914756422,131.06201442082602,"[-300.1000061035156, -24.0]",True,None,False,None
36,36,1.5445470912291057,131.07373382103833,"[-302.0, -24.20001220703125]",True,None,False,None
37,37,1.5563133630330412,131.08549979238342,"[-302.79998779296875, -23.299987792968807]",True,None,False,None
38,38,1.5680961600755836,131.09728288988663,"[-303.8999938964844, -21.899993896484375]",True,None,False,None
39,39,1.5798041428497527,131.10899087265898,"[-301.5, -23.100006103515625]",True,None,False,None
40,40,1.5915511852817872,131.12073761463216,"[-299.3999938964844, -21.600006103515625]",True,None,False,None
41,41,1.6033237667234062,131.13251079699148,"[-300.1000061035156, -23.100006103515625]",True,None,False,None
42,42,1.6151306004812795,131.14431702983165,"[-299.5, -24.0]",True,None,False,None
43,43,1.6268638218025444,131.15605025115474,"[-298.29998779296875, -25.500000000000057]",True,None,False,None
44,44,1.6385946394530038,131.1677810688052,"[-298.8999938964844, -26.29998779296875]",True,None,False,None
45,45,1.6503503951953462,131.17953742546342,"[-299.79998779296875, -25.500000000000057]",True,None,False,None
46,46,1.6621223757174448,131.1913091055285,"[-299.0, -27.29998779296875]",True,None,False,None
47,47,1.6739123837760417,131.2030991135871,"[-297.3999938964844, -26.5]",True,None,False,None
48,48,1.685665435386909,131.2148518647391,"[-298.1000061035156, -27.399993896484375]",True,None,False,None
49,49,1.6974362140754238,131.22662294388465,"[-296.5, -28.600006103515682]",True,None,False,None
50,50,1.7091721395281638,131.23835916979624,"[-297.1000061035156, -28.5]",True,None,False,None
51,51,1.7209432186737104,131.2501302489418,"[-297.5, -28.0]",True,None,False,None
52,52,1.7326803459618532,131.26186707577108,"[-297.6000061035156, -26.100006103515568]",True,None,False,None
53,53,1.744441509963508,131.2736285402334,"[-298.79998779296875, -26.29998779296875]",True,None,False,None
54,54,1.7562249079255707,131.28541163773662,"[-298.6000061035156, -27.600006103515625]",True,None,False,None
55,55,1.768058782987282,131.29725873298958,"[-299.5, -26.999999999999943]",True,None,False,None
56,56,1.7797400249164639,131.3089267547257,"[-298.1000061035156, -24.70001220703125]",True,None,False,None
57,57,1.7914891705604532,131.3206759003715,"[-298.29998779296875, -25.600006103515625]",True,None,False,None
58,58,1.803303215332562,131.3324899451418,"[-296.6000061035156, -28.20001220703125]",True,None,False,None
59,59,1.8150136017775367,131.34420033158676,"[-295.8999938964844, -28.799987792968807]",True,None,False,None
60,60,1.8267420157571905,131.35592844510757,"[-294.8999938964844, -27.700012207031307]",True,None,False,None
61,61,1.838527516931208,131.36771454719928,"[-295.8999938964844, -27.200012207031193]",True,None,False,None
62,62,1.8502763621163467,131.3794630919274,"[-295.79998779296875, -26.20001220703125]",True,None,False,None
63,63,1.8620558541133505,131.39124258392258,"[-296.1000061035156, -26.999999999999943]",True,None,False,None
