,frameN,routine_time,global_time,gaze,good_fixation,button,stimulus_display,recorded_response
0,0,1.1280283327832876,350.58157467776255,"[-181.5, -33.29998779296875]",False,None,False,None
1,1,1.1453831385406374,350.5989294835199,"[-181.60000610351562, -34.79998779296875]",False,None,False,None
2,2,1.156054952980412,350.60960129795967,"[-180.5, -36.09997558593756]",False,None,False,None
3,3,1.1678002884364105,350.6213460325089,"[-180.5, -36.49999999999994]",False,None,False,None
4,4,1.179559444763072,350.6331060901957,"[-180.39999389648438, -35.40002441406256]",False,None,False,None
5,5,1.1913594627894781,350.64490520686195,"[-179.5, -34.9000244140625]",False,None,False,None
6,6,1.2030720487946382,350.6566186942273,"[-176.29998779296875, 49.20001220703125]",False,None,False,None
7,7,1.2148579454988067,350.6684039900247,"[-183.20001220703125, -33.70001220703125]",False,None,False,None
8,8,1.226649250369519,350.6801952948954,"(99999, 99999)",False,None,False,None
9,9,1.2383915812879422,350.6919376258138,"(99999, 99999)",False,None,False,None
10,10,1.2501390199213347,350.703684763992,"(99999, 99999)",False,None,False,None
11,11,1.2619017816905398,350.715447525763,"(99999, 99999)",False,None,False,None
12,12,1.2737096115142776,350.72725595649354,"[-270.3999938964844, -1331.5]",False,None,False,None
13,13,1.2854417270082195,350.7389874710807,"[-272.6000061035156, -1355.800048828125]",False,None,False,None
14,14,1.2971798515773116,350.7507258961032,"[-262.0, -1297.0999755859375]",False,None,False,None
15,15,1.3089363038197916,350.76248204789226,"(99999, 99999)",False,None,False,None
16,16,1.3207270077818976,350.77427305230776,"(99999, 99999)",False,None,False,None
17,17,1.3324612264532334,350.7860072709791,"(99999, 99999)",False,None,False,None
18,18,1.3441777183561499,350.797723762882,"(99999, 99999)",False,None,False,None
19,19,1.355979839558131,350.8095255836306,"(99999, 99999)",False,None,False,None
20,20,1.3677251750159485,350.8212706186332,"(99999, 99999)",False,None,False,None
21,21,1.3795275966713234,350.8330736411972,"(99999, 99999)",False,None,False,None
22,22,1.3912606135272654,350.84480635759974,"(99999, 99999)",False,None,False,None
23,23,1.4030203707607143,350.8565661148332,"(99999, 99999)",False,None,False,None
24,24,1.414724844516968,350.868270889041,"(99999, 99999)",False,None,False,None
25,25,1.4265693296893005,350.88011507375995,"(99999, 99999)",False,None,False,None
26,26,1.4383170687742677,350.8918763332622,"(99999, 99999)",False,None,False,None
27,27,1.4500161343639775,350.90356217888984,"(99999, 99999)",False,None,False,None
28,28,1.4617960219948145,350.91534176606547,"(99999, 99999)",False,None,False,None
29,29,1.473675660248773,350.9272217047728,"(99999, 99999)",False,None,False,None
30,30,1.4853936544186581,350.9389399993979,"(99999, 99999)",False,None,False,None
31,31,1.497102334526062,350.95064807859853,"(99999, 99999)",False,None,False,None
32,32,1.5088903344058053,350.96243667938506,"(99999, 99999)",False,None,False,None
33,33,1.5206191449105972,350.97416548988804,"(99999, 99999)",False,None,False,None
34,34,1.5323894180219213,350.9859354625478,"(99999, 99999)",False,None,False,None
35,35,1.5441071117402316,350.9976531562643,"(99999, 99999)",False,None,False,None
36,36,1.5559158429241506,351.0094615869948,"(99999, 99999)",False,None,False,None
37,37,1.5676503620470612,351.0211964065729,"(99999, 99999)",False,None,False,None
38,38,1.579440164648986,351.03298620917485,"(99999, 99999)",False,None,False,None
39,39,1.5911996214290411,351.0447453655015,"(99999, 99999)",False,None,False,None
40,40,1.6029299342008017,351.05647597872667,"(99999, 99999)",False,None,False,None
41,41,1.6147104227384261,351.0682564672643,"(99999, 99999)",False,None,False,None
42,42,1.626483099480538,351.080028843553,"(99999, 99999)",False,None,False,None
43,43,1.6381938827635167,351.0917399272894,"(99999, 99999)",False,None,False,None
44,44,1.6499866899030167,351.10353243397367,"(99999, 99999)",False,None,False,None
45,45,1.661717303128171,351.11526334765404,"(99999, 99999)",False,None,False,None
46,46,1.6735305411184527,351.1270765856443,"(99999, 99999)",False,None,False,None
47,47,1.6852229967262247,351.1387687407987,"(99999, 99999)",False,None,False,None
48,48,1.696981251690886,351.15052699576336,"(99999, 99999)",False,None,False,None
49,49,1.708766547488267,351.1623125920123,"(99999, 99999)",False,None,False,None
50,50,1.7209607607492217,351.1745071057285,"(99999, 99999)",False,None,False,None
51,51,1.732732836584546,351.1862788811104,"(99999, 99999)",False,None,False,None
52,52,1.7444237899235304,351.197969533996,"(99999, 99999)",False,None,False,None
53,53,1.7562658714668942,351.20981191599276,"(99999, 99999)",False,None,False,None
54,54,1.7680752035576006,351.22162154853686,"(99999, 99999)",False,None,False,None
55,55,1.7797658564450103,351.23331160051566,"(99999, 99999)",False,None,False,None
56,56,1.7914934651325893,351.24503981011185,"(99999, 99999)",False,None,False,None
57,57,1.803267343690095,351.25681308776257,"(99999, 99999)",False,None,False,None
58,58,1.815016284590456,351.2685623291163,"(99999, 99999)",False,None,False,None
59,59,1.8267895622393553,351.2803356067652,"(99999, 99999)",False,None,False,None
60,60,1.8385511221949855,351.29209716672085,"(99999, 99999)",False,None,False,None
61,61,1.8503063726238906,351.30385241714976,"(99999, 99999)",False,None,False,None
62,62,1.862070937115277,351.31561668118775,"(99999, 99999)",False,None,False,None
63,63,1.873830694348726,351.3273767388746,"(99999, 99999)",False,None,False,None
64,64,1.8855949583885376,351.3391407024592,"(99999, 99999)",False,None,False,None
65,65,1.897359522879924,351.3509055674058,"(99999, 99999)",False,None,False,None
