,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, -25)","(5, 5)"
5,"(6, 5)","(6, 5)","(6, -10)","(6, 5)"
6,"(7, 20)","(7, -2)","(7, -10)","(7, -2)"
7,"(8, 20)","(8, 1)","(8, -10)","(8, -2)"
8,"(9, 20)","(9, 1)","(9, -17)","(9, 1)"
9,"(10, 13)","(10, 1)","(10, -17)","(10, 4)"
10,"(11, 13)","(11, 4)","(11, -17)","(11, 4)"
11,"(12, 13)","(12, 4)","(12, -14)","(12, 4)"
12,"(13, 6)","(13, 4)","(13, -14)","(13, 1)"
13,"(14, 6)","(14, 7)","(14, -14)","(14, 4)"
14,"(15, 6)","(15, 7)","(15, -17)","(15, 4)"
15,"(16, -1)","(16, 7)","(16, -14)","(16, 4)"
16,"(17, 2)","(17, 4)","(17, -14)","(17, 1)"
17,"(18, 2)","(18, 4)","(18, -11)","(18, 1)"
18,"(19, 2)","(19, 4)","(19, -11)","(19, 1)"
19,"(20, -1)","(20, 1)","(20, -11)","(20, -2)"
